zcta,pop_estimate,black,blackz,poverty,povertyz,boro,arrests,pop_estimate_2010,blackz_2010,povertyz_2010,weighted_median_non_home_dwell_time,weighted_median_non_home_dwell_timez,complaintsSD,complaintsSD_rate,complaintsSD_rate_2010,complaintsSD_ratez,complaintsSD_ratez_2010,summons,sqf,sqfrate,sqfratez
10033,59607,10.39,-0.4564814114369929,16.59,0.22743098374833354,Manhattan,34,53926,-0.5436388825225307,0.5579597393682599,16.18566032,-0.3153750359016035,436,731.4577146979382,0.008085153729184438,0.5181418547300045,0.6095886864314902,11,5509,10215.851351852538,0.40947955577556827
10034,42910,11.57,-0.40895127155328465,16.36,0.19943450541869526,Manhattan,25,38908,-0.5697976105539174,0.7439320042132199,16.17877898,-0.31555311786467244,457,1065.0198089023538,0.011745656420273465,1.4782766551195257,1.5807855012323184,3,3466,8908.193687673487,0.1944534510236614
10035,35743,40.79,0.768023887261931,33.78,2.3198634293417295,Manhattan,103,33969,0.7376834901457063,2.0236618044327654,14.83986799,-0.3502027496912968,312,872.8981898553563,0.009184845005740528,0.9252682181322074,0.9013564449023326,1,6899,20309.694132885867,2.0692715293471506
10036,27428,7.21,-0.5845711104456304,13.82,-0.10974399439557024,Manhattan,16,24711,-0.5890817995312112,-0.6244171677864305,37.33267711,0.23188789007149851,297,1082.8350590637306,0.012018938934077942,1.5295565875662276,1.6532922385156363,1,5473,22148.031241147666,2.3715604834355917
10037,21139,71.93,2.022336222837079,21.48,0.8226604578002071,Manhattan,18,17416,1.991281991660769,0.9405606320169184,9.527771823,-0.48767430514859594,147,695.3971332607975,0.008440514469453377,0.41434403189087465,0.7038722447784397,0,3495,20067.753789618742,2.029487806878985
10038,22800,9.33,-0.4991779777732054,15.65,0.11301059405329042,Manhattan,11,20300,-0.6444820563557513,0.15068897510833779,70.79123336,1.0977607256607411,155,679.8245614035088,0.007635467980295567,0.36951948967959286,0.49027901673902924,0,624,3073.8916256157636,-0.764916329551046
10039,27726,61.88,1.6175244382343097,22.58,0.9565566585071723,Manhattan,9,24527,1.6518919331774435,1.163527957155081,13.22807955,-0.3919141677359042,175,631.1765130202698,0.007134994088147755,0.22948953713001852,0.3574943445331684,0,3033,12365.964039629795,0.7630356650655697
10040,44571,9.78,-0.48105207697009633,18.58,0.46966138320911627,Manhattan,20,41905,-0.49409240237205926,0.1520303368577705,7.071695764,-0.5512350136782468,390,875.0084135424378,0.009306765302469872,0.9313423471587853,0.9337040795950645,4,4048,9659.945113948217,0.3180685112657678
10044,11682,12.16,-0.3851862016114306,13.35,-0.1669541892430919,Manhattan,0,11661,-0.3317667913228622,-0.6977332600010939,4.693693694,-0.6127752481104479,21,179.76373908577298,0.0018008747105737071,-1.0698700757439452,-1.0577429019462377,0,6,51.45356315924878,-1.2619142069212943
10065,28109,2.2,-0.7863728060535781,8.17,-0.7974835707540745,Manhattan,10,32270,-0.7629267916206697,-1.2365663678145595,144.4922799,3.005067594392847,130,462.4853249848803,0.004028509451502944,-0.25607606809301575,-0.4667115744193363,0,616,1908.8937093275488,-0.956484024098082
