"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US3610707","ZCTA5 10707, New York","10097"
"8710000US3610708","ZCTA5 10708, New York","21225"
"8710000US3610709","ZCTA5 10709, New York","9292"
"8710000US3610710","ZCTA5 10710, New York","25120"
"8710000US3610801","ZCTA5 10801, New York","40827"
"8710000US3610803","ZCTA5 10803, New York","12435"
"8710000US3610804","ZCTA5 10804, New York","14146"
"8710000US3610805","ZCTA5 10805, New York","18414"
"8710000US3610901","ZCTA5 10901, New York","23465"
"8710000US3610910","ZCTA5 10910, New York","21"
"8710000US3610911","ZCTA5 10911, New York","2"
"8710000US3610913","ZCTA5 10913, New York","5532"
"8710000US3610914","ZCTA5 10914, New York","414"
"8710000US3610915","ZCTA5 10915, New York","119"
"8710000US3610916","ZCTA5 10916, New York","4540"
"8710000US3610917","ZCTA5 10917, New York","1968"
"8710000US3610918","ZCTA5 10918, New York","11647"
"8710000US3610919","ZCTA5 10919, New York","1040"
"8710000US3610920","ZCTA5 10920, New York","8554"
"8710000US3610921","ZCTA5 10921, New York","4135"
"8710000US3610922","ZCTA5 10922, New York","1559"
"8710000US3610923","ZCTA5 10923, New York","8732"
"8710000US3610924","ZCTA5 10924, New York","13120"
"8710000US3610925","ZCTA5 10925, New York","4539"
"8710000US3610926","ZCTA5 10926, New York","3203"
"8710000US3610927","ZCTA5 10927, New York","11910"
"8710000US3610928","ZCTA5 10928, New York","4175"
"8710000US3610930","ZCTA5 10930, New York","8958"
"8710000US3610931","ZCTA5 10931, New York","1023"
"8710000US3610932","ZCTA5 10932, New York","60"
"8710000US3610933","ZCTA5 10933, New York","473"
"8710000US3610940","ZCTA5 10940, New York","48418"
"8710000US3610941","ZCTA5 10941, New York","13779"
"8710000US3610950","ZCTA5 10950, New York","47226"
"8710000US3610952","ZCTA5 10952, New York","38917"
"8710000US3610953","ZCTA5 10953, New York","252"
"8710000US3610954","ZCTA5 10954, New York","23045"
"8710000US3610956","ZCTA5 10956, New York","31521"
"8710000US3610958","ZCTA5 10958, New York","3291"
"8710000US3610960","ZCTA5 10960, New York","15093"
"8710000US3610962","ZCTA5 10962, New York","5950"
"8710000US3610963","ZCTA5 10963, New York","4298"
"8710000US3610964","ZCTA5 10964, New York","1472"
"8710000US3610965","ZCTA5 10965, New York","14791"
"8710000US3610968","ZCTA5 10968, New York","2353"
"8710000US3610969","ZCTA5 10969, New York","1267"
"8710000US3610970","ZCTA5 10970, New York","9993"
"8710000US3610973","ZCTA5 10973, New York","2126"
"8710000US3610974","ZCTA5 10974, New York","3152"
"8710000US3610975","ZCTA5 10975, New York","281"
"8710000US3610976","ZCTA5 10976, New York","2258"
"8710000US3610977","ZCTA5 10977, New York","59048"
"8710000US3610979","ZCTA5 10979, New York","234"
"8710000US3610980","ZCTA5 10980, New York","13383"
"8710000US3610983","ZCTA5 10983, New York","5532"
"8710000US3610984","ZCTA5 10984, New York","2842"
"8710000US3610985","ZCTA5 10985, New York","58"
"8710000US3610986","ZCTA5 10986, New York","1974"
"8710000US3610987","ZCTA5 10987, New York","3395"
"8710000US3610988","ZCTA5 10988, New York","896"
"8710000US3610989","ZCTA5 10989, New York","9293"
"8710000US3610990","ZCTA5 10990, New York","20631"
"8710000US3610992","ZCTA5 10992, New York","9621"
"8710000US3610993","ZCTA5 10993, New York","4769"
"8710000US3610994","ZCTA5 10994, New York","7085"
"8710000US3610996","ZCTA5 10996, New York","6756"
"8710000US3610998","ZCTA5 10998, New York","3122"
"8710000US3611001","ZCTA5 11001, New York","26883"
"8710000US3611003","ZCTA5 11003, New York","41356"
"8710000US3611004","ZCTA5 11004, New York","14016"
"8710000US3611005","ZCTA5 11005, New York","1806"
"8710000US3611010","ZCTA5 11010, New York","23821"
"8710000US3611020","ZCTA5 11020, New York","5914"
"8710000US3611021","ZCTA5 11021, New York","17729"
"8710000US3611023","ZCTA5 11023, New York","9027"
"8710000US3611024","ZCTA5 11024, New York","8002"
"8710000US3611030","ZCTA5 11030, New York","17962"
"8710000US3611040","ZCTA5 11040, New York","40782"
"8710000US3611042","ZCTA5 11042, New York","520"
"8710000US3611050","ZCTA5 11050, New York","30171"
"8710000US3611096","ZCTA5 11096, New York","8344"
"8710000US3611101","ZCTA5 11101, New York","25484"
"8710000US3611102","ZCTA5 11102, New York","34133"
"8710000US3611103","ZCTA5 11103, New York","38780"
"8710000US3611104","ZCTA5 11104, New York","27232"
"8710000US3611105","ZCTA5 11105, New York","36688"
"8710000US3611106","ZCTA5 11106, New York","38875"
"8710000US3611109","ZCTA5 11109, New York","3523"
"8710000US3611201","ZCTA5 11201, New York","51128"
"8710000US3611203","ZCTA5 11203, New York","76174"
"8710000US3611204","ZCTA5 11204, New York","78134"
"8710000US3611205","ZCTA5 11205, New York","40366"
"8710000US3611206","ZCTA5 11206, New York","81677"
"8710000US3611207","ZCTA5 11207, New York","93386"
"8710000US3611208","ZCTA5 11208, New York","94469"
"8710000US3611209","ZCTA5 11209, New York","68853"
"8710000US3611210","ZCTA5 11210, New York","62008"
"8710000US3611211","ZCTA5 11211, New York","90117"
"8710000US3611212","ZCTA5 11212, New York","84500"
"8710000US3611213","ZCTA5 11213, New York","63767"
"8710000US3611214","ZCTA5 11214, New York","88630"
"8710000US3611215","ZCTA5 11215, New York","63488"
"8710000US3611216","ZCTA5 11216, New York","54316"
"8710000US3611217","ZCTA5 11217, New York","35881"
"8710000US3611218","ZCTA5 11218, New York","75220"
"8710000US3611219","ZCTA5 11219, New York","92221"
"8710000US3611220","ZCTA5 11220, New York","99598"
"8710000US3611221","ZCTA5 11221, New York","78895"
"8710000US3611222","ZCTA5 11222, New York","36934"
"8710000US3611223","ZCTA5 11223, New York","78731"
"8710000US3611224","ZCTA5 11224, New York","47621"
