"","ZCTA","PCSA","numHC","ptsUninsured","ptsMedicaid","poverty","lowInc","nonWhite","hispanic","black","asian","aIaN","popUninsured","popMedicaid","unemployed","limEnglish","lessHS","delayedCare","noUsualCare","pcp1_fte","pcp2_fte","r_pcp1_fte","r_pcp2_fte"
"62","11363","36059301800",1,0.134328358208955,0.552238805970149,0.05940984,0.18859016,0.43619672,0.1732459,0.00852459016393443,0.331540983606557,0,0.0797408093097064,0.101957154192013,0.384015917778015,0.101583622395992,0.0676792934536934,0.140855222940445,0.1454698741436,298,197.7,341.2,226.3
"63","11004","36059302800",1,0,0.833333333333333,0.09172175,0.17750901,0.51078676,0.10929156,0.0724101103595586,0.350800996796013,0.00441438234247063,0.062910284463895,0.150437636761488,0.44604679942131,0.0458045415580273,0.102543957531452,0.142744034528732,0.141812071204185,628.8,437.8,164.1,114.3
"64","11005","36059302800",0,NA,NA,0.01271785,0.18228921,0.0164861,0.0178992,0.00847856806406029,0,0,0.0297482837528604,0.0224256292906178,0.821008026599884,0.0259419400244951,0.0282618943601847,0.0966263189911842,0.104219920933247,628.8,437.8,164.1,114.3
"65","11423","36059302800",14,0.209273182957393,0.596491228070175,0.10848414,0.29258708,0.84550588,0.15574205,0.411568339936979,0.247714722490874,0.0171590802732974,0.126284738394659,0.253625213476168,0.421794682741165,0.0841280966997147,0.18585467338562,0.184791907668114,0.152989193797112,628.8,437.8,164.1,114.3
"66","11426","36059302800",5,0.237704918032787,0.467213114754098,0.09090909,0.25399386,0.53416374,0.2098925,0.0356109158569361,0.389549307421956,0.00175728757494315,0.0766394816221651,0.176460730644621,0.402084648609161,0.0956607460975647,0.118055045604706,0.151820987462997,0.153757110238075,628.8,437.8,164.1,114.3
"67","11427","36059302800",10,0.23121387283237,0.482658959537572,0.11188265,0.25141047,0.72391304,0.14484228,0.25537084398977,0.327962489343564,0.00230179028132992,0.0854534440983039,0.194314641744548,0.432222843170166,0.0902569442987442,0.158251971006393,0.172170832753181,0.153423890471458,628.8,437.8,164.1,114.3
"68","11428","36059302800",9,0.297734627831715,0.527508090614887,0.10891816,0.27503795,0.77000147,0.27672157,0.18723425052539,0.28830457944382,0.00298128146229412,0.0841178256908594,0.202449640651888,0.406931221485138,0.111225537955761,0.18462285399437,0.185593247413635,0.173080965876579,628.8,437.8,164.1,114.3
"69","11435","36059302800",20,0.18566715542522,0.654875366568915,0.17904879,0.39418579,0.77970765,0.31533481,0.240082167158814,0.222750032096546,0.00328301817581571,0.1355693551881,0.302621127879269,0.404339730739594,0.192488268017769,0.214247986674309,0.191133871674538,0.179883375763893,628.8,437.8,164.1,114.3
"70","11432","36059302800",20,0.292159559834938,0.569463548830812,0.21647467,0.45792916,0.77248177,0.26248898,0.16720891097043,0.397323503485856,0.00511258914977162,0.139742733043769,0.312813230872035,0.45742404460907,0.212273746728897,0.227466449141502,0.182524263858795,0.173714473843575,628.8,437.8,164.1,114.3
"71","11365","36059302800",12,0.189864382583869,0.591720199857245,0.14486014,0.32666775,0.63621401,0.17995735,0.0564467522833697,0.448467708285039,0.000904075293244935,0.114949063125341,0.229670729488812,0.458573520183563,0.171044081449509,0.140989080071449,0.165552854537964,0.16495954990387,628.8,437.8,164.1,114.3
